index,num_pictures
Chihuahua,152
Japanese_spaniel,185
Maltese_dog,252
Pekinese,149
Shih-Tzu,214
Blenheim_spaniel,188
papillon,196
toy_terrier,172
Rhodesian_ridgeback,172
Afghan_hound,239
basset,175
beagle,195
bloodhound,187
bluetick,171
black-and-tan_coonhound,159
Walker_hound,153
English_foxhound,157
redbone,148
borzoi,151
Irish_wolfhound,218
Italian_greyhound,182
whippet,187
Ibizan_hound,188
Norwegian_elkhound,196
otterhound,151
Saluki,200
Scottish_deerhound,232
Weimaraner,160
Staffordshire_bullterrier,155
American_Staffordshire_terrier,164
Bedlington_terrier,182
Border_terrier,172
Kerry_blue_terrier,179
Irish_terrier,169
Norfolk_terrier,172
Norwich_terrier,185
Yorkshire_terrier,164
wire-haired_fox_terrier,157
Lakeland_terrier,197
Sealyham_terrier,202
Airedale,202
cairn,197
Australian_terrier,196
Dandie_Dinmont,180
Boston_bull,182
miniature_schnauzer,154
giant_schnauzer,157
standard_schnauzer,155
Scotch_terrier,158
Tibetan_terrier,206
silky_terrier,183
soft-coated_wheaten_terrier,156
West_Highland_white_terrier,169
Lhasa,186
flat-coated_retriever,152
curly-coated_retriever,151
golden_retriever,150
Labrador_retriever,171
Chesapeake_Bay_retriever,167
German_short-haired_pointer,152
vizsla,154
English_setter,161
Irish_setter,155
Gordon_setter,153
Brittany_spaniel,152
clumber,150
English_springer,159
Welsh_springer_spaniel,150
cocker_spaniel,159
Sussex_spaniel,151
Irish_water_spaniel,150
kuvasz,150
schipperke,154
groenendael,150
malinois,150
briard,152
kelpie,153
komondor,154
Old_English_sheepdog,169
Shetland_sheepdog,157
collie,153
Border_collie,150
Bouvier_des_Flandres,150
Rottweiler,152
German_shepherd,152
Doberman,150
miniature_pinscher,184
Greater_Swiss_Mountain_dog,168
Bernese_mountain_dog,218
Appenzeller,151
EntleBucher,202
boxer,151
bull_mastiff,156
Tibetan_mastiff,152
French_bulldog,159
Great_Dane,156
Saint_Bernard,170
Eskimo_dog,150
malamute,178
Siberian_husky,192
affenpinscher,150
basenji,209
pug,200
Leonberg,210
Newfoundland,195
Great_Pyrenees,213
Samoyed,218
Pomeranian,219
chow,196
keeshond,158
Brabancon_griffon,153
Pembroke,181
Cardigan,155
toy_poodle,151
miniature_poodle,155
standard_poodle,159
Mexican_hairless,155
dingo,156
dhole,150
African_hunting_dog,169
